"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"	"disease"
"ESR2"	7	1	1	1	3	2.58	1
"FOS"	20	1	1	1	3	2.47	1
"E2F1"	25	1	1	1	3	2.34	1
"ESR1"	19	1	1	1	3	1.79	1
"JUN"	45	1	1	1	3	1.6	1
"STAT5A"	7	1	1	1	3	1.6	1
"ETS2"	6	1	1	1	3	1.15	1
"TFAP2A"	24	1	1	1	3	0.9	1
"hsa-mir-146a"	31	1	1	1	3	0	1
"hsa-mir-21"	44	1	1	1	3	0	1
"WT1"	2	0	1	1	2	5.39	1
"IFNB1"	9	1	0	1	2	4.13	1
"FOXM1"	1	0	1	1	2	3.54	1
"KIT"	6	1	0	1	2	2.79	1
"IL6"	7	1	0	1	2	2.76	1
"FOXA1"	3	0	1	1	2	1.87	1
"RARB"	6	1	1	0	2	1.1	1
"TRERF1"	1	0	1	1	2	1.08	1
"HEY2"	1	0	1	1	2	1.06	1
"MEIS1"	1	0	1	1	2	1.01	1
"NR2F6"	2	0	1	1	2	1	1
"KRAS"	1	0	1	1	2	0.83	1
"AR"	5	0	1	1	2	0.63	1
"ERBB2"	6	1	0	0	1	1.89	1
"BRCA2"	4	0	0	1	1	1.81	1
"AFP"	1	0	1	0	1	1.43	1
"EGFR"	8	1	0	0	1	1.4	1
"PDGFA"	2	0	0	1	1	1.33	1
"BRCA1"	5	0	0	1	1	1.24	1
"PARP1"	1	0	1	0	1	1.2	1
"CCND1"	15	1	0	0	1	1.01	1
"PGR"	5	0	0	1	1	0.87	1
"ZEB1"	1	0	1	0	1	0.72	1
"CAV1"	3	0	0	0	0	3.19	1
"RAD54L"	1	0	0	0	0	3.06	1
"CCL20"	1	0	0	0	0	2.93	1
"CCNE1"	1	0	0	0	0	2.5	1
"MMP3"	2	0	0	0	0	2.39	1
"F3"	2	0	0	0	0	1.77	1
"STMN1"	2	0	0	0	0	1.68	1
"TFPI2"	1	0	0	0	0	1.58	1
"SYNE1"	1	0	0	0	0	1.44	1
"PTGS2"	1	0	0	0	0	1.26	1
"DLL1"	1	0	0	0	0	1.09	1
"ALDOA"	1	0	0	0	0	0.92	1
"SERPINB5"	3	0	0	0	0	0.75	1
"SNAI2"	2	0	0	0	0	0.74	1
"SOD2"	1	0	0	0	0	0.74	1
"CSF1"	2	0	0	0	0	0.73	1
"PIM1"	4	0	0	0	0	0.61	1
